LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/ms),(micron/ms),(micron),(ms),(micron),(micron),(micron),
ID30572 → ID31678,1279,30572,31678,152.4664207400228,NaN,1.5434661719852678,12.347729375882142,3268.0,32.30973712573405,119.61362700298614,0.0,
ID31678 → ID29579,1279,31678,29579,40.85246412808314,0.01477171011669456,0.754751805521966,6.038014444175728,3276.0,23.400398685390496,117.40623213404115,0.0,
ID29571 → ID28640,1281,29571,28640,31.47736152347688,NaN,0.7013086152360645,5.610468921888516,3284.0,197.3888438014767,110.45189976898757,0.0,
ID29577 → ID28645,1282,29577,28645,135.92088801217002,NaN,1.4573139247225206,11.658511397780165,3284.0,78.06415640517034,113.85946994566709,0.0,
ID28592 → ID28792,1283,28592,28792,41.1354132551176,NaN,0.8017111899625777,6.413689519700622,3292.0,261.7873849133871,90.69079334083388,0.0,
ID28792 → ID29193,1283,28792,29193,0.61490399769848,0.008647637256179964,0.7189441701007587,5.75155336080607,3300.0,256.1531542913466,92.97325012178192,0.0,
ID28809 → ID29204,1285,28809,29204,83.83855591556191,NaN,1.1445424571332663,9.15633965706613,3300.0,57.46011332964382,98.41128908839458,0.0,
ID28795 → ID29192,1287,28795,29192,7.713631302457761,NaN,0.34716781115319795,2.7773424892255836,3300.0,203.70201822971987,93.12786639532007,0.0,
ID29192 → ID29671,1287,29192,29671,3.6219597371917747,0.047824054078019804,0.5215547494008604,4.1724379952068835,3308.0,207.07480726204093,93.65724270033257,0.0,
ID29205 → ID29683,1288,29205,29683,1.739531838182928,NaN,0.16486414095129434,1.3189131276103547,3308.0,163.68250258708116,98.58660792895171,0.0,
ID29226 → ID29707,1289,29226,29707,3.543492138212755,NaN,0.2353020710907031,1.882416568725625,3308.0,128.7266157280758,107.69797529422169,0.0,
ID29684 → ID32256,1291,29684,32256,20.650616380674602,0.01664594360271467,1.1937001155698315,9.549600924558652,3316.0,100.56077915868639,99.73127649189021,0.0,
ID29214 → ID29684,1291,29214,29684,26.022545883803858,NaN,0.6376537300403999,5.1012298403231995,3308.0,93.32922637332508,100.80398431251628,0.0,
ID29701 → ID32371,1292,29701,32371,136.3017591370966,NaN,1.4593543046557045,11.674834437245636,3316.0,263.40361342425365,104.59719668802038,0.0,
ID28550 → ID29477,1292,28550,29477,21.90755855886074,0.12560292487886232,1.232666242204382,9.861329937635055,3332.0,244.17514935857466,98.76701042284407,0.0,
ID32371 → ID28550,1292,32371,28550,45.28338930104935,0.07449918439280549,1.398786068555924,11.190288548447391,3324.0,253.21081583338486,100.65407756559682,0.0,
ID29477 → ID28279,1292,29477,28279,134.54232977008968,0.016723708671695106,2.6052721140751225,20.84217691260098,3340.0,230.1977845738699,105.04325458885876,0.0,
ID29455 → ID28257,1299,29455,28257,142.69064424300964,0.052453204608099206,2.9774350377704306,23.819480302163445,3340.0,251.62384414775235,94.6326116615928,0.0,
ID28525 → ID29455,1299,28525,29455,218.67863992776432,NaN,1.84847335627845,14.7877868502276,3332.0,269.5865608514665,88.74268055352252,0.0,
ID28257 → ID30514,1299,28257,30514,106.01991853546508,2.948030105338876E-4,2.7183316548505703,21.746653238804562,3348.0,231.3709940125833,105.06762352450716,0.0,
ID29490 → ID28270,1301,29490,28270,8.154419048663835,NaN,0.35694929280693694,2.8555943424554955,3340.0,267.8898808522823,104.64700660444545,0.0,
ID31345 → ID28917,1302,31345,28917,0.6643540178702387,0.007893263773161907,0.4540042306296907,3.6320338450375256,3444.0,403.0137930086423,94.01011846172761,0.0,
ID30224 → ID29873,1302,30224,29873,2.631242443359136,0.03858101038749885,0.5632700042470952,4.506160033976761,3460.0,411.04366991147015,93.72923227674889,0.0,
ID32626 → ID29740,1302,32626,29740,0.3122574562858818,0.007789746791430697,0.18123812414958476,1.449904993196678,3396.0,389.58452273763726,95.6297190394906,0.0,
ID29873 → ID29604,1302,29873,29604,0.3820828917815769,0.0019880794824423745,0.5441597441499464,4.353277953199571,3468.0,415.35885031555915,94.72942622259751,0.0,
ID29464 → ID28246,1302,29464,28246,9.241228646208205,NaN,0.3799923651825168,3.0399389214601342,3340.0,376.2281205562578,94.62512230199368,0.0,
ID31272 → ID30308,1302,31272,30308,0.2929746555274558,0.014326742567957114,0.157156535439748,1.257252283517984,3412.0,392.7149075151999,95.50693847690609,0.0,
ID30379 → ID31345,1302,30379,31345,0.8115095170154982,0.0367871809125266,0.3788653351695591,3.030922681356473,3436.0,399.7934337689509,94.85691454594237,0.0,
ID32235 → ID31428,1302,32235,31428,1.3514523852094018,0.04983370028176699,0.15219166393802447,1.2175333115041957,3372.0,384.02560475638893,95.22860993740787,0.0,
ID29740 → ID31272,1302,29740,31272,0.08424341863042584,0.01783963027792989,0.22381904542971956,1.7905523634377565,3404.0,391.2004996017066,95.65343759132517,0.0,
ID28863 → ID30379,1302,28863,30379,1.7643385251907122,0.008076615338830433,0.38303567737629557,3.0642854190103646,3428.0,396.8097897881587,95.28831229230454,0.0,
ID28917 → ID30224,1302,28917,30224,0.803940630354808,0.017463273137759017,0.5097821043583443,4.078256834866754,3452.0,406.81375723637336,93.41829190837785,0.0,
ID29604 → ID31070,1302,29604,31070,1.4460914762718038,0.03897023531318733,0.5768315338758092,4.614652271006474,3476.0,419.77591173691667,95.06306646383959,0.0,
ID28246 → ID30443,1302,28246,30443,1.6635510854101236,0.04327920166558462,0.2606746173180624,2.0853969385444993,3348.0,378.64758770652566,95.349929487507,0.0,
ID30443 → ID31985,1302,30443,31985,1.540964519585926,7.991095757285159E-4,0.276836584389201,2.214692675113608,3356.0,380.7903795599358,95.52624895930694,0.0,
ID31985 → ID32235,1302,31985,32235,1.5116293973908137,0.018549181584916377,0.19898423187240147,1.5918738549792117,3364.0,382.68829353027024,95.55844917582822,0.0,
ID30308 → ID28863,1302,30308,28863,0.2584060106338068,0.012739249872948664,0.24328190698193156,1.9462552558554524,3420.0,394.30638702050794,95.34427356590136,0.0,
ID31428 → ID28995,1302,31428,28995,0.9956662002657144,0.0743821359902116,0.28530935394707324,2.282474831576586,3380.0,385.7009418886958,95.09850016647647,0.0,
ID28995 → ID32626,1302,28995,32626,0.06828247777151444,0.0036091696347455267,0.25683237982859225,2.054659038628738,3388.0,387.84786459292894,95.40252007367125,0.0,
ID30517 → ID32010,1304,30517,32010,88.55016752529332,NaN,1.1762637321547869,9.410109857238295,3356.0,84.965671569973,108.20650057159607,0.0,
ID30520 → ID32030,1305,30520,32030,21.35421353951312,NaN,0.577632743665811,4.621061949326488,3356.0,93.32405889757347,114.69980226597801,0.0,
