LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/ms),(micron/ms),(micron),(ms),(micron),(micron),(micron),
ID2200 → ID3563,99,2200,3563,0.0010317440191267584,0.00477911622216502,0.15674894943445958,1.2539915954756766,444.0,100.52911292812081,58.00515490428772,0.0,
ID3563 → ID4839,99,3563,4839,0.056197296029813354,0.0017963485602863127,0.12686615040896684,1.0149292032717347,452.0,99.39874869779086,58.10113092031197,0.0,
ID4839 → ID2921,99,4839,2921,0.05112258965147424,0.024396303889780833,0.13570138559797387,1.085611084783791,460.0,98.3729827204698,58.302159080211716,0.0,
ID3154 → ID3681,99,3154,3681,0.061317063310437916,0.012291683597165993,0.1732622332016615,1.386097865613292,484.0,94.76747628402286,59.173244443449036,0.0,
ID5877 → ID6827,100,5877,6827,0.18061293948306828,0.03376337032792883,0.17876403692090603,1.4301122953672483,684.0,339.6595792471678,46.434792928788696,0.0,
ID8515 → ID6283,100,8515,6283,0.015341621309904735,0.010318715918784114,0.20606294333521316,1.6485035466817053,740.0,329.18475590389846,47.1935708005007,0.0,
ID11802 → ID10178,100,11802,10178,7.85387987154709,0.3846710991472129,0.40391400679789025,3.231312054383122,1060.0,258.40063119457284,53.283112888053466,0.0,
ID6694 → ID5987,100,6694,5987,0.02514625357218721,0.0171897599182077,0.06429219887351292,0.5143375909881034,628.0,347.25058889015406,46.19506486912253,0.0,
ID3625 → ID4639,100,3625,4639,0.021171128488630744,0.005091491508295353,0.25070527039328333,2.0056421631462666,492.0,366.77266318572254,47.51971490200495,0.0,
ID7051 → ID6130,100,7051,6130,0.053724159421278256,0.007975202859931686,0.21571598559609467,1.7257278847687574,940.0,295.02707393646233,46.49199783652426,0.0,
ID8201 → ID7505,100,8201,7505,0.2375767932650413,0.034338904117866366,0.22668097327869752,1.8134477862295801,1012.0,267.21476458457715,51.1323177996191,0.0,
ID8404 → ID7163,100,8404,7163,0.30698823366923034,0.015258779136278421,0.22799171917577915,1.8239337534062332,892.0,304.1096821764663,46.823943902958035,0.0,
ID6653 → ID6274,100,6653,6274,0.1191329250662015,1.3524978191245437E-4,0.1334910618357742,1.0679284946861936,644.0,345.59579691455576,46.2321679082505,0.0,
ID8062 → ID6715,100,8062,6715,0.007363413545365356,0.004204927209551783,0.19448978309309756,1.5559182647447805,788.0,318.6404489200994,46.28347427398345,0.0,
ID5760 → ID6460,100,5760,6460,0.06776001178848069,3.860774795454977E-4,0.20001615835807202,1.6001292668645761,708.0,335.5714507070727,47.05138925834909,0.0,
ID6363 → ID7151,100,6363,7151,0.05621413259221546,0.013866247429025232,0.2240152744987211,1.7921221959897689,764.0,323.44030306987065,46.704701203324476,0.0,
